Period,Fund name,ABN,Merger,Merged,Acquirer,NetAssets,MemFlowIn,MemFlowOut,InRoll,SMSFIn,SFTIn,OutRoll,SMSFOut,SFTOut,1YrRet,Merger_y,Merged_y,Acquirer_y,AvgMemBal,Fail,NetFlowsIn,NetFlowsOut,TotalFundFlows,FundOutflowRatio,Log_AvgMemBal,Lag_1YrRet,FlowRatio,NetRollIn,NetRollOut
2021-06-30,AvWrap Retirement Service,82004832237.0,0.0,0.0,0,350873.0,9813.0,20777.0,8042.0,14,0.0,30513.0,2266,0.0,0.139,0.0,0.0,0,351000000000.0,0.0,17855.0,51290.0,69145.0,0.7417745317810398,12.768544351446794,-0.019,17854.85382175317,8042.0,30513.0
2022-06-30,AvWrap Retirement Service,82004832237.0,0.0,0.0,0,363370.0,35598.0,20439.0,89142.0,5,0.0,10164.0,768,0.0,-0.081,0.0,0.0,0,349000000000.0,0.0,124740.0,30603.0,155343.0,0.19700276163071398,12.762830066509972,0.139,124739.91578005889,89142.0,10164.0
2020-06-30,Avanteos Superannuation Trust,38876896681.0,0.0,0.0,0,9452977.0,366713.0,545456.0,1127570.0,87012,0.0,613930.0,32676,0.0,-0.014,0.0,0.0,0,310000000000.0,0.0,1494283.0,1159386.0,2653669.0,0.43689925156453197,12.644330802262578,0.067,1494282.877352288,1127570.0,613930.0
2021-06-30,Avanteos Superannuation Trust,38876896681.0,0.0,0.0,0,9651661.0,413260.0,530037.0,1125192.0,96118,0.0,700676.0,38297,0.0,0.152,0.0,0.0,0,352000000000.0,0.0,1538452.0,1230713.0,2769165.0,0.44443469421287646,12.77138929548529,-0.014,1538451.8724869222,1125192.0,700676.0
2022-06-30,Avanteos Superannuation Trust,38876896681.0,0.0,0.0,0,11452506.0,519945.0,631987.0,1100606.0,125838,0.0,662281.0,45071,0.0,-0.068,0.0,0.0,0,325000000000.0,0.0,1620551.0,1294268.0,2914819.0,0.4440303154329651,12.691583538230217,0.152,1620550.8869882277,1100606.0,662281.0
2020-06-30,Aware Super,53226460365.0,1.0,0.0,0,96950303.0,5669069.0,4731313.0,27575984.0,97110.0,24349693.0,3253079.0,368063.0,0.0,0.011,1.0,0.0,0,114000000000.0,0.0,8895360.0,7984392.0,16879752.0,0.47301595426283516,11.643962499267984,0.066,8895359.917644486,3226291.0,3253079.0
2021-06-30,Aware Super,53226460365.0,1.0,0.0,0,123332000.0,7537285.0,5065097.0,6549647.0,133649.0,4182378.0,2636934.0,460344.0,0.0,0.145,1.0,0.0,0,131000000000.0,0.0,9904554.0,7702031.0,17606585.0,0.43745172615813915,11.782960235741939,0.011,9904553.937550426,2367269.0,2636934.0
2022-06-30,Aware Super,53226460365.0,0.0,0.0,0,148025424.0,8553543.0,5046153.0,4039740.0,138544.0,866355.0,3834872.0,448790.0,0.0,-0.038,0.0,0.0,0,126000000000.0,0.0,11726928.0,8881025.0,20607953.0,0.4309513419406576,11.744045122410057,0.145,11726927.94000338,3173385.0,3834872.0
2020-06-30,Boc Gases Superannuation Fund,49620344668.0,0.0,0.0,0,751839.0,19614.0,23618.0,7285.0,143.0,0.0,27604.0,2356.0,0.0,-0.018,0.0,0.0,0,227000000000.0,0.0,26899.0,51222.0,78121.0,0.6556751705687331,12.33270970174018,0.061,26898.93187105218,7285.0,27604.0
2021-06-30,Boc Gases Superannuation Fund,49620344668.0,0.0,1.0,equipsuper,713524.0,18652.0,23571.0,4345.0,89.0,0.0,26408.0,1809.0,0.0,0.133,0.0,1.0,equipsuper,261000000000.0,0.0,22997.0,49979.0,72976.0,0.6848689980267485,12.472279517715116,-0.018,22996.929954703697,4345.0,26408.0
2020-06-30,Building Unions Superannuation Scheme (Queensland),85571332201.0,0.0,0.0,0,5050826.0,272950.0,318200.0,142428.0,0,0.0,237908.0,20937,0.0,0.023,0.0,0.0,0,68000000000.0,0.0,415378.0,556108.0,971486.0,0.5724302769159824,11.127277689932466,0.048,415377.8898976128,142428.0,237908.0
2021-06-30,Building Unions Superannuation Scheme (Queensland),85571332201.0,0.0,0.0,0,5013061.0,288337.0,298876.0,106194.0,0,0.0,146672.0,23753,0.0,0.166,0.0,0.0,0,84000000000.0,0.0,394531.0,445548.0,840079.0,0.5303644062046545,11.338583982516495,0.023,394530.9111225656,106194.0,146672.0
2022-06-30,Building Unions Superannuation Scheme (Queensland),85571332201.0,0.0,0.0,0,5782839.0,325162.0,170756.0,102507.0,1293,0.0,193672.0,24478,0.0,-0.053,0.0,0.0,0,79000000000.0,0.0,427669.0,364428.0,792097.0,0.46008001545265287,11.277215789596893,0.166,427668.9369811264,102507.0,193672.0
2020-06-30,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262.0,0.0,0.0,0,51391507.0,3282220.0,2516213.0,1715061.0,133982.0,0.0,1109147.0,244291.0,0.0,0.007,0.0,0.0,0,68000000000.0,0.0,4997281.0,3625360.0,8622641.0,0.4204465893918116,11.127277689932466,0.069,4997280.929456048,1715061.0,1109147.0
2021-06-30,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262.0,0.0,0.0,0,53031124.0,3506932.0,2487529.0,1108598.0,71298.0,0.0,1041447.0,280501.0,0.0,0.179,0.0,0.0,0,81000000000.0,0.0,4615530.0,3528976.0,8144506.0,0.43329527905068765,11.302216779257382,0.007,4615529.933454625,1108598.0,1041447.0
2022-06-30,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262.0,1.0,0.0,0,63552540.0,4152831.0,1557188.0,8156471.0,93401.0,6761214.0,1227012.0,281103.0,0.0,-0.045,1.0,0.0,0,80000000000.0,0.0,5548088.0,2784200.0,8332288.0,0.33414591526361065,11.289794413577894,0.179,5548087.956190579,1395257.0,1227012.0
2020-06-30,CSS Fund,19415776361.0,0.0,0.0,0,64125263.0,4034495.0,4371945.0,,*,,,*,,-0.00941488971464141,0.0,0.0,0,579000000000.0,0.0,,,,,13.269059483669357,0.07255914665842454,,,
